Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
1375507,Debt collection,"Other (phone, health club, etc.)",Improper contact or sharing of info,Talked to a third party about my debt,GA,30813,Web,5/14/2015,5/14/2015,"Convergent Resources, Inc.",Closed with explanation,Yes,
1375364,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,LA,70119,Referral,5/14/2015,5/14/2015,Transworld Systems Inc.,In progress,Yes,
1375440,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,NY,10550,Web,5/14/2015,5/14/2015,"Debt Recovery Solutions, LLC",Closed with explanation,Yes,
1375572,Debt collection,Medical,Disclosure verification of debt,Not disclosed as an attempt to collect,MD,21117,Web,5/14/2015,5/14/2015,Transworld Systems Inc.,In progress,Yes,
1375453,Consumer loan,Vehicle loan,Taking out the loan or lease,,DC,20018,Web,5/14/2015,5/14/2015,Navy FCU,In progress,Yes,
1375357,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,CT,6511,Web,5/14/2015,5/14/2015,"Southwest Credit Systems, L.P.",Closed with explanation,Yes,
1375053,Debt collection,Payday loan,Communication tactics,Threatened to take legal action,WI,54303,Web,5/14/2015,5/14/2015,"Enova International, Inc.",Closed with explanation,Yes,
1375080,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,FL,33401,Web,5/14/2015,5/14/2015,Transworld Systems Inc.,In progress,Yes,
1375181,Debt collection,Medical,Taking/threatening an illegal action,Sued w/o proper notification of suit,TN,37909,Web,5/13/2015,5/14/2015,Revenue Recovery Corporation,Closed with explanation,Yes,
1374383,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,NJ,7724,Web,5/13/2015,5/13/2015,"HCFS Health Care Financial Services, Inc.",Closed with explanation,Yes,
1373831,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,NY,10970,Web,5/13/2015,5/13/2015,"R&R Professional Recovery, Inc.",Closed with explanation,Yes,
1375224,Debt collection,Medical,False statements or representation,Attempted to collect wrong amount,NJ,8016,Web,5/13/2015,5/14/2015,Transworld Systems Inc.,In progress,Yes,
1373246,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,MO,64056,Web,5/13/2015,5/13/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1373744,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,FL,32025,Web,5/13/2015,5/13/2015,"Jon Barry and Associates, Inc.",Closed with non-monetary relief,Yes,
1374302,Debt collection,Medical,False statements or representation,Attempted to collect wrong amount,PA,15005,Referral,5/13/2015,5/14/2015,Transworld Systems Inc.,In progress,Yes,
1372933,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,MO,65807,Web,5/13/2015,5/13/2015,Transworld Systems Inc.,In progress,Yes,
1374617,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,AZ,85286,Web,5/13/2015,5/13/2015,Arvest Bank,Closed,Yes,Yes
1376769,Debt collection,,Communication tactics,Frequent or repeated calls,FL,32526,Web,5/13/2015,5/14/2015,"Praxis Financial Solutions, Incorporated",Closed with explanation,Yes,
1374653,Debt collection,"Other (phone, health club, etc.)",Improper contact or sharing of info,Talked to a third party about my debt,TX,78634,Web,5/13/2015,5/13/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1375233,Debt collection,Auto,Improper contact or sharing of info,Talked to a third party about my debt,TN,38114,Web,5/13/2015,5/14/2015,"Recovery Partners, LLC",Closed with explanation,Yes,
1373944,Debt collection,,Disclosure verification of debt,Not disclosed as an attempt to collect,FL,32205,Web,5/13/2015,5/13/2015,Southern Management Systems Inc.,Closed with explanation,Yes,
1373028,Credit card,,APR or interest rate,,TX,75007,Referral,5/13/2015,5/14/2015,Wells Fargo,Closed with explanation,Yes,
1376775,Credit card,,Billing statement,,TX,76354,Web,5/13/2015,5/14/2015,Navy FCU,In progress,Yes,
1373795,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,MI,48197,Web,5/13/2015,5/13/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1373389,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,OH,44035,Web,5/13/2015,5/13/2015,"Bayview Loan Servicing, LLC",In progress,Yes,
1374635,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Frequent or repeated calls,FL,32256,Web,5/13/2015,5/13/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1374887,Debt collection,,Communication tactics,Frequent or repeated calls,AL,36116,Web,5/13/2015,5/14/2015,"Enova International, Inc.",Closed with explanation,Yes,
1374368,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,FL,33025,Web,5/13/2015,5/13/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1373609,Bank account or service,Checking account,Problems caused by my funds being low,,NH,3431,Referral,5/13/2015,5/14/2015,Santander Bank US,In progress,Yes,
1372919,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,TX,79902,Web,5/13/2015,5/13/2015,"Convergent Resources, Inc.",Closed with explanation,Yes,
1373774,Debt collection,Federal student loan,Communication tactics,Threatened to take legal action,OK,73703,Referral,5/13/2015,5/13/2015,Transworld Systems Inc.,In progress,Yes,
1373250,Debt collection,,Communication tactics,Frequent or repeated calls,,659,Web,5/13/2015,5/13/2015,"Expert Global Solutions, Inc.",In progress,Yes,
1373390,Debt collection,Medical,Communication tactics,Called after sent written cease of comm,AZ,85326,Web,5/13/2015,5/13/2015,"HCFS Health Care Financial Services, Inc.",Closed with explanation,Yes,
1372595,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,TX,78596,Web,5/12/2015,5/12/2015,"Commonwealth Financial Systems, Inc.",Closed with explanation,Yes,
1370815,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,FL,34205,Web,5/12/2015,5/13/2015,"Commonwealth Financial Systems, Inc.",Closed with explanation,Yes,Yes
1372151,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,NY,11355,Postal mail,5/12/2015,5/13/2015,Transworld Systems Inc.,In progress,Yes,
1372630,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,FL,33442,Web,5/12/2015,5/12/2015,"I.C. System, Inc.",Closed with explanation,Yes,
1371001,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,IL,60466,Web,5/12/2015,5/12/2015,Flagstar Bank,In progress,Yes,
1370795,Student loan,Non-federal student loan,Dealing with my lender or servicer,,PA,15045,Web,5/12/2015,5/12/2015,JPMorgan Chase,Closed with explanation,Yes,
1372155,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,CA,93291,Phone,5/12/2015,5/13/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1370800,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,NC,28390,Referral,5/12/2015,5/13/2015,Nationstar Mortgage,Closed with explanation,Yes,
1371740,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,GA,39886,Web,5/12/2015,5/13/2015,HSBC,Closed with explanation,Yes,
1371007,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,CA,94044,Web,5/12/2015,5/12/2015,Citibank,Closed with explanation,Yes,
1370872,Debt collection,Credit card,Improper contact or sharing of info,Contacted me after I asked not to,TX,75062,Web,5/12/2015,5/12/2015,Bank of America,In progress,Yes,
1370671,Debt collection,Payday loan,Disclosure verification of debt,Not disclosed as an attempt to collect,OH,43146,Web,5/12/2015,5/12/2015,"Secure Capital Management, Inc.",Closed with explanation,Yes,
1372573,Credit reporting,,Incorrect information on credit report,Account status,NY,12206,Web,5/12/2015,5/12/2015,"FNIS (Fidelity National Information Services, Inc.)",Closed with explanation,Yes,
1372580,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,NY,11557,Web,5/12/2015,5/13/2015,AllianceOne Recievables Management,Closed with explanation,Yes,Yes
1372615,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,NJ,7042,Web,5/12/2015,5/12/2015,Nationstar Mortgage,Closed with explanation,Yes,
1371619,Consumer loan,Vehicle loan,Problems when you are unable to pay,,MD,21014,Web,5/12/2015,5/12/2015,Ally Financial Inc.,In progress,Yes,
1371724,Debt collection,Payday loan,Taking/threatening an illegal action,Threatened arrest/jail if do not pay,VA,22209,Web,5/12/2015,5/12/2015,"Enova International, Inc.",Closed with explanation,Yes,
1372540,Bank account or service,Checking account,"Account opening, closing, or management",,PA,19143,Referral,5/12/2015,5/13/2015,M&T Bank,Closed with explanation,Yes,
1370860,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,NY,11558,Referral,5/12/2015,5/12/2015,Wells Fargo,Closed with explanation,Yes,
1371177,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,FL,34639,Phone,5/12/2015,5/12/2015,"Debt Recovery Solutions, LLC",Closed with explanation,Yes,
1371372,Debt collection,Mortgage,Cont'd attempts collect debt not owed,Debt is not mine,VA,22180,Web,5/12/2015,5/12/2015,Ocwen,Closed with explanation,Yes,
1373126,Consumer loan,Vehicle loan,Managing the loan or lease,,MN,55044,Web,5/12/2015,5/13/2015,Ally Financial Inc.,In progress,Yes,
1372142,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,PA,17003,Referral,5/12/2015,5/13/2015,"NRA Group, LLC",Closed,Yes,
1371579,Mortgage,Other mortgage,Other,,FL,33181,Postal mail,5/12/2015,5/13/2015,Flagstar Bank,In progress,Yes,
1371189,Credit reporting,,Incorrect information on credit report,Information is not mine,NY,11566,Web,5/12/2015,5/12/2015,"FNIS (Fidelity National Information Services, Inc.)",In progress,Yes,
1372548,Bank account or service,Checking account,"Account opening, closing, or management",,NY,11224,Referral,5/12/2015,5/13/2015,Santander Bank US,In progress,Yes,
1371629,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,TX,78245,Web,5/12/2015,5/12/2015,"ProCollect, Inc",Closed with explanation,Yes,
1371721,Debt collection,"Other (phone, health club, etc.)",Improper contact or sharing of info,Talked to a third party about my debt,OK,74401,Web,5/12/2015,5/12/2015,Transworld Systems Inc.,In progress,Yes,
1372242,Bank account or service,Checking account,"Account opening, closing, or management",,OK,73114,Web,5/12/2015,5/12/2015,"FNIS (Fidelity National Information Services, Inc.)",In progress,Yes,
1371340,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,AR,72662,Web,5/12/2015,5/12/2015,"Green Tree Servicing, LLC",Closed with explanation,Yes,
1372983,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,MI,48334,Fax,5/12/2015,5/14/2015,Transworld Systems Inc.,In progress,Yes,
1371935,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,IL,60124,Web,5/12/2015,5/12/2015,Transworld Systems Inc.,In progress,Yes,
1371778,Payday loan,,Charged fees or interest I didn't expect,,LA,70806,Web,5/12/2015,5/12/2015,"Check into Cash, Inc.",Closed with monetary relief,Yes,
1372140,Bank account or service,Cashing a check without an account,Deposits and withdrawals,,TX,75001,Web,5/12/2015,5/12/2015,JPMorgan Chase,Closed with explanation,Yes,
1371086,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,FL,33559,Web,5/12/2015,5/12/2015,"Credit Protection Association, L.P.",In progress,Yes,
1371143,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,NJ,7901,Web,5/12/2015,5/12/2015,"Contract Callers, Inc.",Closed,Yes,
1372447,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,PA,17601,Web,5/12/2015,5/12/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1373087,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,UT,84414,Web,5/12/2015,5/13/2015,Transworld Systems Inc.,In progress,Yes,
1371888,Consumer loan,Installment loan,Taking out the loan or lease,,TX,77303,Web,5/12/2015,5/12/2015,"Mid-Atlantic Finance Co., Inc.",Closed with explanation,Yes,
1371012,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,LA,70665,Web,5/12/2015,5/12/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1371782,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,MO,63131,Web,5/12/2015,5/12/2015,Flagstar Bank,In progress,Yes,
1371726,Consumer loan,Vehicle lease,Managing the loan or lease,,OR,97080,Phone,5/12/2015,5/13/2015,Wells Fargo,Closed with explanation,Yes,
1370850,Consumer loan,Vehicle lease,Problems when you are unable to pay,,CA,91403,Web,5/12/2015,5/13/2015,Ocwen,Closed with explanation,Yes,Yes
1372188,Bank account or service,Checking account,Problems caused by my funds being low,,CO,80011,Phone,5/12/2015,5/13/2015,TCF National Bank,Closed with monetary relief,Yes,
1372529,Consumer loan,Installment loan,Shopping for a loan or lease,,KY,40601,Web,5/12/2015,5/13/2015,Springleaf Finance Corporation,In progress,Yes,
1371942,Debt collection,Payday loan,Communication tactics,Threatened to take legal action,MD,21702,Referral,5/12/2015,5/12/2015,Solidus Group LLC.,Closed with explanation,Yes,
1370763,Mortgage,Other mortgage,Other,,MA,1609,Postal mail,5/12/2015,5/13/2015,"Bayview Loan Servicing, LLC",In progress,Yes,
1371567,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Threatened to take legal action,NY,13323,Web,5/12/2015,5/12/2015,HSBC,Closed with explanation,Yes,
1372001,Debt collection,Medical,Communication tactics,Used obscene/profane/abusive language,PR,960,Web,5/12/2015,5/13/2015,Revenue Recovery Corporation,Closed with explanation,Yes,
1373133,Debt collection,Federal student loan,Improper contact or sharing of info,Contacted me after I asked not to,WA,98001,Web,5/12/2015,5/13/2015,MOHELA,Closed with explanation,Yes,
1373074,Mortgage,Conventional fixed mortgage,Credit decision / Underwriting,,GA,30019,Web,5/12/2015,5/13/2015,Navy FCU,In progress,Yes,
1374570,Bank account or service,Checking account,"Account opening, closing, or management",,NY,10025,Web,5/12/2015,5/13/2015,JPMorgan Chase,In progress,Yes,
1372536,Mortgage,Other mortgage,"Application, originator, mortgage broker",,VA,20120,Referral,5/12/2015,5/13/2015,Navy FCU,In progress,Yes,
1372074,Consumer loan,Installment loan,Managing the loan or lease,,CA,94501,Web,5/12/2015,5/13/2015,Springleaf Finance Corporation,In progress,Yes,
1372318,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,MA,1602,Phone,5/12/2015,5/13/2015,URS Holdings LLC,Closed with explanation,Yes,
1372239,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,VA,22193,Web,5/12/2015,5/12/2015,Collection Management Company,Closed with explanation,Yes,Yes
1370916,Credit reporting,,Incorrect information on credit report,Information is not mine,TX,78701,Web,5/11/2015,5/12/2015,Equifax,In progress,Yes,
1369971,Mortgage,VA mortgage,"Loan modification,collection,foreclosure",,TX,77047,Web,5/11/2015,5/11/2015,Ocwen,Closed with explanation,Yes,
1369124,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt resulted from identity theft,WY,82701,Web,5/11/2015,5/13/2015,"Convergent Resources, Inc.",Closed with explanation,Yes,
1368943,Credit card,,Unsolicited issuance of credit card,,PA,18080,Web,5/11/2015,5/11/2015,Wells Fargo,Closed with explanation,Yes,
1368995,Credit card,,Customer service / Customer relations,,DC,20019,Web,5/11/2015,5/11/2015,Navy FCU,In progress,Yes,
1368821,Payday loan,,Charged fees or interest I didn't expect,,GA,30093,Web,5/11/2015,5/11/2015,"Green Trust Cash, LLC",Closed with explanation,Yes,
1369874,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,FL,33334,Phone,5/11/2015,5/12/2015,"Admin Recovery, LLC",Closed with explanation,Yes,
1370897,Credit reporting,,Incorrect information on credit report,Account status,MD,20640,Web,5/11/2015,5/12/2015,Navy FCU,In progress,Yes,
1370293,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,TX,77043,Web,5/11/2015,5/11/2015,"Recovery Partners, LLC",Closed with explanation,Yes,
1370471,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,PA,19063,Referral,5/11/2015,5/12/2015,Bank of America,In progress,Yes,
1369852,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,NV,89135,Web,5/11/2015,5/11/2015,"EOS Holdings, Inc.",Closed with explanation,Yes,
1370415,Bank account or service,Checking account,"Account opening, closing, or management",,NY,10025,Web,5/11/2015,5/12/2015,JPMorgan Chase,In progress,Yes,
1369712,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,CO,80238,Web,5/11/2015,5/11/2015,U.S. Bancorp,Closed with explanation,Yes,
1370456,Consumer loan,Vehicle loan,Problems when you are unable to pay,,TX,75801,Web,5/11/2015,5/11/2015,Ally Financial Inc.,In progress,Yes,
1369281,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,NJ,7094,Referral,5/11/2015,5/13/2015,Wells Fargo,Closed with explanation,Yes,
1368873,Credit reporting,,Incorrect information on credit report,Account status,OH,43615,Web,5/11/2015,5/11/2015,Equifax,In progress,Yes,
1369952,Credit card,,Billing statement,,CA,90046,Referral,5/11/2015,5/12/2015,Navy FCU,In progress,Yes,
1369762,Credit reporting,,Incorrect information on credit report,Information is not mine,WA,98004,Web,5/11/2015,5/11/2015,Equifax,In progress,Yes,
1369323,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,SC,29646,Web,5/11/2015,5/11/2015,"Bayview Loan Servicing, LLC",In progress,Yes,
1369028,Mortgage,VA mortgage,Credit decision / Underwriting,,CA,92553,Web,5/11/2015,5/11/2015,Navy FCU,In progress,Yes,
1369115,Money transfers,International money transfer,Fraud or scam,,TX,77072,Web,5/11/2015,5/11/2015,MoneyGram,In progress,Yes,
1370493,Credit reporting,,Incorrect information on credit report,Information is not mine,FL,33470,Web,5/11/2015,5/11/2015,Equifax,In progress,Yes,
1370406,Credit reporting,,Credit reporting company's investigation,Inadequate help over the phone,IL,60554,Web,5/11/2015,5/11/2015,Equifax,In progress,Yes,
1369568,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,NY,11558,Referral,5/11/2015,5/12/2015,Wells Fargo,Closed with explanation,Yes,
1369760,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,WA,98004,Web,5/11/2015,5/11/2015,AllianceOne Recievables Management,Closed with explanation,Yes,
1370065,Credit reporting,,Credit reporting company's investigation,Investigation took too long,NC,27617,Web,5/11/2015,5/11/2015,Equifax,Closed with explanation,Yes,
1369510,Credit reporting,,Incorrect information on credit report,Information is not mine,NY,14127,Web,5/11/2015,5/11/2015,Equifax,Closed with explanation,Yes,
1370126,Credit reporting,,Incorrect information on credit report,Information is not mine,LA,70127,Web,5/11/2015,5/11/2015,Equifax,Closed with explanation,Yes,
1368858,Bank account or service,Other bank product/service,Deposits and withdrawals,,VA,23112,Referral,5/11/2015,5/11/2015,Wells Fargo,Closed with explanation,Yes,
1370957,Credit reporting,,Incorrect information on credit report,Account status,CA,91739,Web,5/11/2015,5/12/2015,TransUnion,In progress,Yes,
1368792,Credit reporting,,Incorrect information on credit report,Account terms,LA,70706,Web,5/11/2015,5/11/2015,Equifax,In progress,Yes,
1369256,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,GA,30315,Web,5/11/2015,5/11/2015,"Bayview Loan Servicing, LLC",In progress,Yes,
1368810,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,NY,11213,Fax,5/11/2015,5/12/2015,"Commonwealth Financial Systems, Inc.",Closed with explanation,Yes,
1370441,Credit reporting,,Credit reporting company's investigation,Investigation took too long,TX,77373,Web,5/11/2015,5/11/2015,Equifax,In progress,Yes,
1368935,Debt collection,Medical,Improper contact or sharing of info,Talked to a third party about my debt,PA,19518,Web,5/11/2015,5/11/2015,Penn Credit Corporation,In progress,Yes,
1369013,Student loan,Non-federal student loan,Dealing with my lender or servicer,,MI,48124,Web,5/11/2015,5/13/2015,Transworld Systems Inc.,In progress,Yes,
1370110,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,CA,95757,Phone,5/11/2015,5/12/2015,"Premium Asset Services, LLC",In progress,Yes,
1369438,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,CA,94503,Web,5/11/2015,5/11/2015,"HCFS Health Care Financial Services, Inc.",Closed with explanation,Yes,
1368843,Credit reporting,,Incorrect information on credit report,Account terms,NC,27529,Web,5/11/2015,5/11/2015,TransUnion,In progress,Yes,
1370289,Bank account or service,Savings account,"Account opening, closing, or management",,TX,75002,Web,5/11/2015,5/11/2015,Wells Fargo,Closed with monetary relief,Yes,
1369849,Debt collection,"Other (phone, health club, etc.)",Taking/threatening an illegal action,Threatened to sue on too old debt,FL,32778,Web,5/11/2015,5/13/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1369876,Bank account or service,Checking account,Deposits and withdrawals,,NY,10989,Phone,5/11/2015,5/12/2015,JPMorgan Chase,Closed with explanation,Yes,
1370959,Debt collection,Medical,Disclosure verification of debt,Right to dispute notice not received,VA,23341,Web,5/11/2015,5/12/2015,R & B Corporation of Virginia,Closed with explanation,Yes,Yes
1370505,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt resulted from identity theft,OR,97213,Web,5/11/2015,5/11/2015,American Coradius International LLC,Closed with explanation,Yes,
1369588,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,NC,27592,Web,5/11/2015,5/11/2015,Equifax,Closed with explanation,Yes,
1369746,Payday loan,,Charged fees or interest I didn't expect,,TN,38122,Phone,5/11/2015,5/12/2015,"CashCall, Inc.",Closed with explanation,Yes,
1369074,Consumer loan,Vehicle loan,Problems when you are unable to pay,,NM,87121,Web,5/11/2015,5/11/2015,American Honda Finance Corporation,Closed with non-monetary relief,Yes,
1369677,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,MO,65065,Web,5/11/2015,5/11/2015,BMO Harris,Closed with explanation,Yes,
1368854,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,KS,66212,Web,5/11/2015,5/11/2015,"FNIS (Fidelity National Information Services, Inc.)",In progress,Yes,
1369598,Credit reporting,,Incorrect information on credit report,Personal information,CO,80228,Web,5/11/2015,5/11/2015,Equifax,Closed with explanation,Yes,Yes
1368823,Credit reporting,,Incorrect information on credit report,Account terms,MD,20814,Web,5/11/2015,5/11/2015,Equifax,Closed with explanation,Yes,Yes
1370928,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,WA,99206,Web,5/11/2015,5/12/2015,Citibank,Closed with non-monetary relief,Yes,
1370007,Credit reporting,,Incorrect information on credit report,Information is not mine,DC,20001,Web,5/11/2015,5/11/2015,Equifax,Closed with explanation,Yes,
1368972,Debt collection,Credit card,False statements or representation,Attempted to collect wrong amount,WI,54971,Web,5/11/2015,5/11/2015,Kohn Law Firm S.C.,Closed with explanation,Yes,
1370701,Credit reporting,,Incorrect information on credit report,Information is not mine,IL,60411,Web,5/11/2015,5/12/2015,TransUnion,Closed with non-monetary relief,Yes,
1370919,Debt collection,Medical,False statements or representation,Attempted to collect wrong amount,FL,34761,Web,5/11/2015,5/12/2015,"Charlottesville Bureau of Credits, Inc",Closed with explanation,Yes,Yes
1369241,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,MI,49506,Phone,5/11/2015,5/12/2015,"The CMI Group, Inc.",Closed with non-monetary relief,Yes,
1369058,Debt collection,"Other (phone, health club, etc.)",Improper contact or sharing of info,Talked to a third party about my debt,OH,44111,Web,5/11/2015,5/11/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1368960,Credit card,,APR or interest rate,,TX,75007,Web,5/11/2015,5/11/2015,Wells Fargo,Closed with explanation,Yes,Yes
1370499,Credit card,,Credit line increase/decrease,,NV,89147,Web,5/11/2015,5/11/2015,Amex,Closed with explanation,Yes,
1369049,Credit reporting,,Incorrect information on credit report,Information is not mine,CA,94611,Web,5/11/2015,5/11/2015,Equifax,Closed with non-monetary relief,Yes,
1369556,Consumer loan,Vehicle loan,Managing the loan or lease,,AZ,85015,Web,5/11/2015,5/11/2015,DriveTime,Closed with explanation,Yes,Yes
1369144,Credit reporting,,Incorrect information on credit report,Personal information,TN,38320,Web,5/11/2015,5/11/2015,Equifax,Closed with non-monetary relief,Yes,
1368846,Credit reporting,,Incorrect information on credit report,Account status,OH,45419,Web,5/11/2015,5/11/2015,TransUnion,In progress,Yes,
1369204,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,IL,62959,Referral,5/11/2015,5/12/2015,Springleaf Finance Corporation,In progress,Yes,
1368839,Credit card,,Billing disputes,,FL,32431,Web,5/11/2015,5/12/2015,Citibank,Closed with explanation,Yes,Yes
1370222,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,CA,95820,Web,5/11/2015,5/11/2015,"Southwest Credit Systems, L.P.",Closed,Yes,
1370680,Credit card,,Other,,OR,97224,Web,5/11/2015,5/12/2015,"Praxis Financial Solutions, Incorporated",Closed with explanation,Yes,
1370775,Credit reporting,,Incorrect information on credit report,Account status,CA,91739,Web,5/11/2015,5/12/2015,TransUnion,Closed with non-monetary relief,Yes,
1370147,Credit reporting,,Incorrect information on credit report,Account status,MA,2021,Web,5/11/2015,5/11/2015,Equifax,In progress,Yes,
1369668,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,FL,52501,Web,5/11/2015,5/11/2015,Statebridge Company,Closed with explanation,Yes,
1369711,Debt collection,,Communication tactics,Frequent or repeated calls,WA,99223,Phone,5/11/2015,5/12/2015,Transworld Systems Inc.,In progress,Yes,
1369582,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,NC,28269,Web,5/11/2015,5/11/2015,Prince Parker & Associates,Closed with explanation,Yes,Yes
1368797,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,AL,35160,Postal mail,5/11/2015,5/12/2015,Credit Bureau of Napa,Closed with explanation,Yes,
1370492,Credit reporting,,Incorrect information on credit report,Information is not mine,FL,33470,Web,5/11/2015,5/11/2015,TransUnion,Closed with explanation,Yes,
1370342,Debt collection,,Improper contact or sharing of info,Contacted employer after asked not to,TN,37207,Web,5/11/2015,5/11/2015,Central Portfolio Control Inc.,Closed with explanation,Yes,
1369992,Credit reporting,,Credit monitoring or identity protection,Problem with fraud alerts,FL,33771,Web,5/11/2015,5/11/2015,Equifax,Closed with explanation,Yes,
1370363,Credit card,,Identity theft / Fraud / Embezzlement,,CA,91206,Web,5/11/2015,5/11/2015,Bank of America,In progress,Yes,
1370880,Credit reporting,,Credit reporting company's investigation,Investigation took too long,TX,77545,Web,5/11/2015,5/12/2015,Equifax,Closed with explanation,Yes,
1370490,Credit reporting,,Incorrect information on credit report,Information is not mine,NY,11003,Web,5/11/2015,5/11/2015,Equifax,Closed with explanation,Yes,
1370937,Debt collection,Medical,False statements or representation,Impersonated an attorney or official,TX,78640,Web,5/11/2015,5/12/2015,Medical Business Bureau,Closed with explanation,Yes,
1369839,Credit reporting,,Incorrect information on credit report,Account status,PA,15560,Web,5/11/2015,5/11/2015,TransUnion,In progress,Yes,
